metric,unit,year,value
Cash and balances with central banks,€ million,2022,14994
Due from credit institutions,€ million,2022,1329
Loans and advances to customers,€ million,2022,41677
Investment securities,€ million,2022,13261
Total assets,€ million,2022,81471
Due to central banks,€ million,2022,8774
Due to credit institutions,€ million,2022,1814
Deposits from customers,€ million,2022,55427
Total liabilities,€ million,2022,74436
Total equity,€ million,2022,7035
Cash and balances with central banks,€ million,2023,10943
Due from credit institutions,€ million,2023,2354
Loans and advances to customers,€ million,2023,41576
Investment securities,€ million,2023,14710
Total assets,€ million,2023,79815
Due to central banks,€ million,2023,3771
Due to credit institutions,€ million,2023,3078
Deposits from customers,€ million,2023,57423
Total liabilities,€ million,2023,72485
Total equity,€ million,2023,7330
Cash and balances with central banks,€ million,2024,16131
Due from credit institutions,€ million,2024,2196
Loans and advances to customers,€ million,2024,50953
Investment securities,€ million,2024,22184
Total assets,€ million,2024,101151
Due to central banks,€ million,2024,0
Due to credit institutions,€ million,2024,2800
Deposits from customers,€ million,2024,74600
Total liabilities,€ million,2024,92515
Total equity,€ million,2024,8636
