metric,unit,year,value
Net interest income,€ million,2022,1456
Net banking fee and commission income,€ million,2022,387
Operating income,€ million,2022,2089
Operating expenses,€ million,2022,-978
Profit from operations before impairments,€ million,2022,1111
Impairment losses on loans,€ million,2022,-345
Profit before tax,€ million,2022,766
Net profit attributable to shareholders,€ million,2022,1353
Net interest income,€ million,2023,2174
Net banking fee and commission income,€ million,2023,447
Operating income,€ million,2023,2821
Operating expenses,€ million,2023,-1078
Profit from operations before impairments,€ million,2023,1743
Impairment losses on loans,€ million,2023,-413
Profit before tax,€ million,2023,1386
Net profit attributable to shareholders,€ million,2023,1148
Net interest income,€ million,2024,2504
Net banking fee and commission income,€ million,2024,561
Operating income,€ million,2024,3242
Operating expenses,€ million,2024,-1071
Profit from operations before impairments,€ million,2024,2171
Impairment losses on loans,€ million,2024,-319
Profit before tax,€ million,2024,1917
Net profit attributable to shareholders,€ million,2024,1458
